team,score,std
PulseCode,"1,515,714.92",0
Data Wizards,"1,845,018.95",0
Los Ricos Suaves,"2,178,961.78",0
Los tanques,"2,244,766.80",0
Mad Scientists,"3,225,056.32",0
Sobrinos del Mac Pato,"5,068,216.48",0
